last_name,first_name,birthday,gender,type,state,party,salary
Brown,Sherrod,1952-11-09,M,sen,OH,Democrat,154786
Cantwell,Maria,1958-10-13,F,sen,WA,Democrat,122942
Cardin,Benjamin,1943-10-05,M,sen,MD,Democrat,81338
Carper,Thomas,1947-01-23,M,sen,DE,Democrat,138844
Casey,Robert,1960-04-13,M,sen,PA,Democrat,169998
Feinstein,Dianne,1933-06-22,F,sen,CA,Democrat,158558
Klobuchar,Amy,1960-05-25,F,sen,MN,Democrat,114974
Menendez,Robert,1954-01-01,M,sen,NJ,Democrat,113488
Sanders,Bernard,1941-09-08,M,sen,VT,Independent,162580
Stabenow,Debbie,1950-04-29,F,sen,MI,Democrat,70349
Tester,Jon,1956-08-21,M,sen,MT,Democrat,156405
Whitehouse,Sheldon,1955-10-20,M,sen,RI,Democrat,92991
Barrasso,John,1952-07-21,M,sen,WY,Republican,121219
Wicker,Roger,1951-07-05,M,sen,MS,Republican,101048
Collins,Susan,1952-12-07,F,sen,ME,Republican,76333
Cornyn,John,1952-02-02,M,sen,TX,Republican,85803
Durbin,Richard,1944-11-21,M,sen,IL,Democrat,145090
Graham,Lindsey,1955-07-09,M,sen,SC,Republican,123721
Inhofe,James,1934-11-17,M,sen,OK,Republican,143559
McConnell,Mitch,1942-02-20,M,sen,KY,Republican,117482
Merkley,Jeff,1956-10-24,M,sen,OR,Democrat,157952
Reed,John,1949-11-12,M,sen,RI,Democrat,151242
Risch,James,1943-05-03,M,sen,ID,Republican,157686
Shaheen,Jeanne,1947-01-28,F,sen,NH,Democrat,147154
Warner,Mark,1954-12-15,M,sen,VA,Democrat,137862
Gillibrand,Kirsten,1966-12-09,F,sen,NY,Democrat,123636
Coons,Christopher,1963-09-09,M,sen,DE,Democrat,82197
Manchin,Joe,1947-08-24,M,sen,WV,Democrat,110442
Aderholt,Robert,1965-07-22,M,rep,AL,Republican,115534
Baldwin,Tammy,1962-02-11,F,sen,WI,Democrat,114407
Bass,Karen,1953-10-03,F,rep,CA,Democrat,121509
Bennet,Michael,1964-11-28,M,sen,CO,Democrat,151149
Bilirakis,Gus,1963-02-08,M,rep,FL,Republican,101243
Bishop,Sanford,1947-02-04,M,rep,GA,Democrat,76209
Blackburn,Marsha,1952-06-06,F,sen,TN,Republican,95983
Blumenauer,Earl,1948-08-16,M,rep,OR,Democrat,107849
Blumenthal,Richard,1946-02-13,M,sen,CT,Democrat,77160
Blunt,Roy,1950-01-10,M,sen,MO,Republican,70771
Boozman,John,1950-12-10,M,sen,AR,Republican,148393
Brady,Kevin,1955-04-11,M,rep,TX,Republican,103120
Brooks,Mo,1954-04-29,M,rep,AL,Republican,130042
Buchanan,Vern,1951-05-08,M,rep,FL,Republican,123806
Bucshon,Larry,1962-05-31,M,rep,IN,Republican,100448
Burgess,Michael,1950-12-23,M,rep,TX,Republican,127656
Burr,Richard,1955-11-30,M,sen,NC,Republican,98627
Butterfield,George,1947-04-27,M,rep,NC,Democrat,118866
Calvert,Ken,1953-06-08,M,rep,CA,Republican,114851
Capito,Shelley,1953-11-26,F,sen,WV,Republican,144303
Carson,André,1974-10-16,M,rep,IN,Democrat,139660
Carter,John,1941-11-06,M,rep,TX,Republican,73553
Cassidy,Bill,1957-09-28,M,sen,LA,Republican,163006
Castor,Kathy,1966-08-20,F,rep,FL,Democrat,86005
Chabot,Steve,1953-01-22,M,rep,OH,Republican,106506
Chu,Judy,1953-07-07,F,rep,CA,Democrat,124158
Cicilline,David,1961-07-15,M,rep,RI,Democrat,164457
Clarke,Yvette,1964-11-21,F,rep,NY,Democrat,148236
Cleaver,Emanuel,1944-10-26,M,rep,MO,Democrat,165697
Clyburn,James,1940-07-21,M,rep,SC,Democrat,82315
Cohen,Steve,1949-05-24,M,rep,TN,Democrat,148101
Cole,Tom,1949-04-28,M,rep,OK,Republican,122332
Connolly,Gerald,1950-03-30,M,rep,VA,Democrat,156027
Cooper,Jim,1954-06-19,M,rep,TN,Democrat,169636
Costa,Jim,1952-04-13,M,rep,CA,Democrat,105499
Courtney,Joe,1953-04-06,M,rep,CT,Democrat,74505
Crapo,Michael,1951-05-20,M,sen,ID,Republican,133472
Crawford,Eric,1966-01-22,M,rep,AR,Republican,167701
Cuellar,Henry,1955-09-19,M,rep,TX,Democrat,101695
Davis,Danny,1941-09-06,M,rep,IL,Democrat,104385
DeFazio,Peter,1947-05-27,M,rep,OR,Democrat,133574
DeGette,Diana,1957-07-29,F,rep,CO,Democrat,73784
DeLauro,Rosa,1943-03-02,F,rep,CT,Democrat,159673
DesJarlais,Scott,1964-02-21,M,rep,TN,Republican,76275
Deutch,Theodore,1966-05-07,M,rep,FL,Democrat,73187
Diaz-Balart,Mario,1961-09-25,M,rep,FL,Republican,76996
Doggett,Lloyd,1946-10-06,M,rep,TX,Democrat,117495
Doyle,Michael,1953-08-05,M,rep,PA,Democrat,89771
Duncan,Jeff,1966-01-07,M,rep,SC,Republican,78682
Eshoo,Anna,1942-12-13,F,rep,CA,Democrat,97290
Fleischmann,Charles,1962-10-11,M,rep,TN,Republican,107984
Fortenberry,Jeff,1960-12-27,M,rep,NE,Republican,104878
Foxx,Virginia,1943-06-29,F,rep,NC,Republican,161448
Garamendi,John,1945-01-24,M,rep,CA,Democrat,90346
Gibbs,Bob,1954-06-14,M,rep,OH,Republican,98259
Gohmert,Louie,1953-08-18,M,rep,TX,Republican,103418
Gosar,Paul,1958-11-22,M,rep,AZ,Republican,169221
Granger,Kay,1943-01-18,F,rep,TX,Republican,76625
Grassley,Charles,1933-09-17,M,sen,IA,Republican,110960
Graves,Sam,1963-11-07,M,rep,MO,Republican,130020
Green,Al,1947-09-01,M,rep,TX,Democrat,163166
Griffith,H.,1958-03-15,M,rep,VA,Republican,89808
Grijalva,Raúl,1948-02-19,M,rep,AZ,Democrat,105883
Guthrie,Brett,1964-02-18,M,rep,KY,Republican,92012
Harris,Andy,1957-01-25,M,rep,MD,Republican,161363
Hartzler,Vicky,1960-10-13,F,rep,MO,Republican,78549
Heinrich,Martin,1971-10-17,M,sen,NM,Democrat,70504
Herrera Beutler,Jaime,1978-11-03,F,rep,WA,Republican,162481
Higgins,Brian,1959-10-06,M,rep,NY,Democrat,92558
Himes,James,1966-07-05,M,rep,CT,Democrat,156236
Hirono,Mazie,1947-11-03,F,sen,HI,Democrat,112620
Hoeven,John,1957-03-13,M,sen,ND,Republican,108273
Hoyer,Steny,1939-06-14,M,rep,MD,Democrat,165708
Huizenga,Bill,1969-01-31,M,rep,MI,Republican,135837
Jackson Lee,Sheila,1950-01-12,F,rep,TX,Democrat,144323
Johnson,Bill,1954-11-10,M,rep,OH,Republican,115046
Johnson,Eddie,1935-12-03,F,rep,TX,Democrat,110693
Johnson,Henry,1954-10-02,M,rep,GA,Democrat,83268
Johnson,Ron,1955-04-08,M,sen,WI,Republican,160435
Jordan,Jim,1964-02-17,M,rep,OH,Republican,70988
Kaptur,Marcy,1946-06-17,F,rep,OH,Democrat,151244
Keating,William,1952-09-06,M,rep,MA,Democrat,122011
Kelly,Mike,1948-05-10,M,rep,PA,Republican,100875
Kind,Ron,1963-03-16,M,rep,WI,Democrat,158071
Kinzinger,Adam,1978-02-27,M,rep,IL,Republican,138500
Lamborn,Doug,1954-05-24,M,rep,CO,Republican,148924
